id,kalmanFilter,age,totalVisibleCount,totalInvisibleCount,consecutiveInvisibleCount,colour_1,colour_2,colour_3,currentLeftparticleId,centroid_1,centroid_2,bbox_1,bbox_2,bbox_3,bbox_4,area,rightCoord2D_1,rightCoord2D_2,per,ax_mj,ax_mn,or,ecc,r2,worldCoordinates_1,worldCoordinates_2,worldCoordinates_3,length_1,length_2,estimated,lost
1,,5,5,0,0,24.8728032748494,71.0170458110973,139.454787397271,1,43.664798206278,35.370889387145,1,1,86,75,5352,NaN,NaN,274.066017177983,87.9192253741869,78.2140448560086,-0.0251906380843786,0.456716038346337,6814.37804342259,NaN,NaN,NaN,NaN,NaN,0,0
2,,5,5,0,0,244.164243035746,246.046576475816,40.1913358277748,2,151.371035408626,1873.45024332942,108,1830,87,88,5959,NaN,NaN,286.835569799683,87.6122993154895,86.6224575337192,-1.27687629012832,0.149894331447695,7587.23444707683,NaN,NaN,NaN,NaN,NaN,0,0
3,,5,5,0,0,247.501159348957,244.077571801951,123.770790424325,3,198.052369077307,573.351620947631,187,562,23,23,401,NaN,NaN,72.7695526217004,22.7574430356022,22.4914555039146,0.277147388195802,0.152444296803077,510.5690574388,NaN,NaN,NaN,NaN,NaN,0,0
4,,5,5,0,0,204.071519566644,36.1810163499399,107.5491270697,4,372.919877163596,1921.873813512,332,1893,83,52,3582,NaN,NaN,238.710678118655,86.0842654220314,55.3499041732723,-0.00117841448631433,0.765888397462635,4560.74404924135,NaN,NaN,NaN,NaN,NaN,0,0
5,,5,5,0,0,233.512558923212,202.012869037686,244.67056873019,41,2583.4990619137,183.966228893058,2571,151,22,67,1066,NaN,NaN,152.911688245431,63.6601706637234,23.1063518564098,-1.57057039471654,0.931803152839805,1357.27335468768,NaN,NaN,NaN,NaN,NaN,0,0
6,,5,5,0,0,167.21387828493,9.10647803641834,216.527972996538,5,422.970392471884,1523.45719531788,386,1487,75,74,4357,NaN,NaN,244.79393923934,74.8145341143031,74.181204406358,-1.17710839099646,0.129842203718593,5547.5046964111,NaN,NaN,NaN,NaN,NaN,0,0
7,,5,5,0,0,238.168278178175,173.077464488732,193.223733297475,6,568.579775280899,1806.33797752809,515,1748,108,118,8900,NaN,NaN,368.918830920369,135.970052207747,83.5445508124316,0.941043923938158,0.788968638531037,11331.8319481429,NaN,NaN,NaN,NaN,NaN,0,0
8,,5,5,0,0,189.498779371854,100.017889981213,167.146861995277,7,571.249132765689,771.407442447178,540,740,63,64,3171,NaN,NaN,207.823376490863,63.9430304369601,63.1623610071438,1.44872238850549,0.155783823209734,4037.4425963552,NaN,NaN,NaN,NaN,NaN,0,0
9,,5,5,0,0,43.6526053919482,180.041752445,8.11737582624227,8,565.287838239667,1647.68867082962,542,1607,48,83,3363,NaN,NaN,229.296464556282,90.0519768363691,48.208049192934,1.40288711147227,0.844639305203163,4281.90458894435,NaN,NaN,NaN,NaN,NaN,0,0
10,,5,5,0,0,70.6153611650269,11.7737046109443,24.7686042151411,9,593.066581849025,421.488973706531,554,383,79,78,4716,NaN,NaN,282.350288425445,77.6398236845496,77.4513346905463,1.44834965902185,0.0696389120570642,6004.59769297103,NaN,NaN,NaN,NaN,NaN,0,0
